Name,Peak,MMR,Events Played,Base MMR
Splinkle,6014,6014,179,3709
Lanz,5864,4919,150,5578
Trae,9462,9303,150,7000
Teach,7179,6629,142,6977
naive,9117,8932,107,7000
Tatsuya,6093,5784,106,5212
Ai Xiang,8046,7685,90,6963
myles,4067,4067,89,2911
ObesoYoshiraMK,8704,8326,86,7000
Deshawn Co. III,9665,9141,83,7000
suwako,4021,3810,80,2131
iiRxl,10470,10303,79,7000
Byron,8152,8152,76,6238
NewbieLuis,3834,3703,76,3117
Erickfree,7362,7300,72,7000
Laquon,5711,5458,69,5835
Zal,4304,3806,66,2449
Tane,4680,4481,64,2250
ErikMK,3113,2957,63,1932
gxbry,5397,5185,62,4697
gyrodos,4508,4007,59,3170
IhavePants,6290,4534,59,6043
July,5862,5286,56,5721
kiba,4487,4296,56,2778
Nino,4813,4576,54,4072
Dman,4096,3714,51,3056
Technical,7263,7093,50,6976
aira,5764,5704,45,5548
Depeche Mode,4621,4483,45,3014
SKaR,7412,7030,45,6602
Yoimiya,4645,3787,44,4473
A.C. Hughes,4903,4120,43,2812
Skilli,4512,4512,43,3514
Squadling,2877,2516,43,2207
Pianist15,6434,6110,42,5949
Toshiki,7718,6836,42,7000
kapi,6849,6717,41,6473
GSCorinth7,3339,3231,40,2918
ShadowMK,4814,3966,39,4153
Euan,7792,7613,38,7000
Nat,2297,2049,36,2059
silly billy,3111,2804,36,2538
Reptavian,6674,6060,35,6438
Chika Takami,6001,5880,34,5719
Helfire Club,4966,4792,34,3271
ember,6689,5920,33,7000
MKIbra,6959,6756,33,7000
Elmer,6739,6227,32,6893
Lemon,5914,5610,32,5887
Hermes,1443,1058,30,1545
sinic,5649,5275,30,5237
WaluigiGaming,2965,2965,30,2027
hoermih,2156,1388,29,2794
JulianSMM,3392,2987,29,3068
Maxarx,7744,7646,29,7000
BMW M3 GTR,3472,2830,27,3243
EHRENLOS,7024,6778,25,6154
futlmanutlnsees,3435,3435,25,3496
randomguy,3094,2355,25,2994
Ty,7289,7015,25,7000
Eji,6998,6506,24,7000
Heather,2124,2090,21,2117
tris,3621,2953,21,3730
Dave Gettleman,6595,6269,20,6026
Olli,4315,3990,20,3777
Pottary,3133,3109,20,2407
Verlust,3523,3147,20,3143
yuna,3721,3257,19,3579
Maliboo,4247,4247,17,3947
Menschenie,3800,3683,17,3536
100mille,2877,2877,16,2117
Tetra,5922,5619,15,5838
True...,4042,3599,15,3553
bobby,4191,4019,14,3445
Pulse,3814,3741,14,3395
shen,2569,2398,14,2250
Val,2846,2499,14,1904
zeta,5118,5064,14,5094
atatata,3477,3395,13,2406
JT Tunes,901,549,13,1000
KinoWav,3299,2998,13,3750
Doenersempft,587,380,12,1000
Jordan,2890,2736,12,2250
Schism,2067,1752,12,2250
Schlatt,6312,6261,12,5921
Togepilovesnug,4476,4298,12,4489
Cosmic (USA),3073,2299,11,3422
Hydro,3673,3428,11,3676
konkon,4602,4493,11,4862
SigmaGrindset,5037,4819,11,4935
Zay,2685,2571,11,2333
Bartholemu,2301,1995,10,2424
FakeFire,2234,2234,10,2105
kisaragi,6825,6235,10,6552
lunaaa,873,468,10,1000
StarScream,4431,4249,10,5255
tacos,6613,6467,10,5829
4RX,2192,1951,9,2250
alpha,7058,6806,9,7000
berda,7107,7107,9,7000
Dxmi,2320,2175,9,2250
General Grievous,4705,4581,9,4512
Aless,2143,1864,8,2407
Citro15,2059,2059,8,2250
Durn,1204,1002,8,1388
Fineapple,1324,1227,8,1648
iBeDoobert,2483,2259,8,2250
jaytendo,3156,3007,8,3476
Mr.Gomi,3874,3713,8,3847
Nanashi,2688,2577,8,2207
okimono,6819,6539,8,6639
peas,3020,2999,8,2849
po,6972,6933,8,7000
Rhys04,3075,2809,8,3415
Rylan,5289,5028,8,5362
Sav,4516,4494,8,4340
Ssoonhari97,2036,1876,8,2482
Wet Owl,1442,1333,8,1701
Deci,4540,4452,7,4228
King Clawthorne,4382,4349,7,4685
Niralamus,1944,1939,7,1912
Yoshiskyblue,2494,2467,7,2494
zill,2302,2284,7,2250
Alex,4719,4719,6,4675
Alpaco,6755,6675,6,7000
bjorne,415,190,6,1000
Demani,2957,2952,6,3204
Emarie,3457,3344,6,3750
Icy,2241,2241,6,2901
Itscrips5,1970,1917,6,2364
Kasumi Utako,2050,2050,6,1983
O721,1896,1883,6,1908
Patsarebest,1726,1558,6,2250
qooo,3505,3505,6,3750
SNeaZy,1978,1730,6,2338
TimkarioCS (GER),2700,2697,6,3335
2wll,3540,3540,5,3750
CoreyOreoz,616,616,5,1000
Drix,1200,1199,5,1000
l1amkm,5341,5341,5,5250
Maelcattet,875,875,5,1000
Maiku,2017,2017,5,2250
Nanew,607,607,5,1000
Storb,2019,2019,5,2254
taiga,3396,3396,5,3570
the,2155,2155,5,2047
Thomas,6106,6106,5,6135
tim,3119,3119,5,3637
Warp Star,3538,3538,5,3750
yurie,2179,2179,5,2250
zpopel,2521,2521,5,2113
