player_id,player_name,mkc_id,country_code,fc,is_host_banned,is_chat_restricted,mmr,base_mmr,peak_mmr,rank_id,times_strike_limit_reached,twitch_link,mogi_media_message_id
71024311338536960,mustea,15254,FR,,0,0,,,,846497627508047872,0,,,
71153366322913280,LawrySauce,53187,US,,0,0,,,,846497627508047872,0,,,
80838419575484416,royal,18,US,,0,0,2306,2250,2358,794263467581374524,0,,,
82703095506669568,Tyler,313,CA,,0,0,2198,2250,2198,794263467581374524,0,,,
82782729405468672,DUGO,17,IT,,0,0,3996,3750,3996,794262959084797984,0,,,
82848351313203200,Marlin,1152,US,,0,0,3622,3622,,794262959084797984,0,,,
82883731739643904,JPGiviner,1555,CA,,0,0,5691,5917,6077,794262925098745858,0,,,
83032873900179456,Jakearoo,5217,US,,0,0,3524,3524,,794262959084797984,0,,,
83580299891441664,Rukawa-Kaede,145,NL,,0,0,3763,3763,,794262959084797984,0,,,
85186620252233728,Cynda,9,US,,0,0,4995,4995,,794262925098745858,0,,,
95534960219267072,Dos-Santos-Cost,20,FR,,0,0,2270,2250,2411,794263467581374524,0,,,
95633906774048768,blaze,978,US,,0,0,3574,3820,3909,794262959084797984,0,,,
95662032874901504,Arti,315,CA,,0,0,3477,3538,3593,794262959084797984,0,,,
95925344279724032,jxesenee,349,GB,,0,0,2164,2474,2504,794263467581374524,0,,,
96408464431026176,Reptavian,2040,US,,0,0,6060,6060,,794262916627038258,0,,,
97523354596040704,Forgiven,4234,NO,,0,0,772,1000,872,970028275789365368,0,,,
102372305920868352,RonnieColeman,713,GB,,0,0,,,,846497627508047872,0,,,
103908614233669632,Ulvind,2735,FR,,0,0,1529,1885,1820,794263467581374524,0,,,
105015313623457792,up,163,FR,,0,0,,,,846497627508047872,0,,,
105289753649246208,Play,361,FR,,0,0,3933,3750,3933,794262959084797984,0,,,
106961535519240192,SmoothMagikarp,51524,PR,,0,0,,,,846497627508047872,0,,,
107468380524531712,ember,348,US,,0,0,7658,5920,7991,794262898423627857,0,,,
107901558426976256,RallyingCryof,55060,GB,,0,0,,,,846497627508047872,0,,,
112993362818125824,katatatat_,43725,US,,0,0,379,1000,912,970028275789365368,0,,,
124956011449679873,Shady,39658,GB,,0,0,,,,846497627508047872,0,,,
125063127032135680,Hydro,3160,US,,0,0,3525,3428,3598,794262959084797984,0,,,
127183114865737728,Mike,1387,US,,0,0,3034,3034,,794262959084797984,0,,,
127829864215478272,Spoiled-Sushi,53127,US,,0,0,,,,846497627508047872,0,,,
128234242055471104,Devoty,250,FR,,0,0,5100,5100,,794262925098745858,0,,,
129307510057205760,Alex,310,DE,,0,0,4888,4719,5068,794262925098745858,0,,,
131858201481183232,Alpaco,3082,NL,,0,0,9016,6675,9016,794262638518730772,0,,,
131953660509814794,scottyyy,43777,US,,0,0,2086,2250,2188,794263467581374524,0,,,
132494046928175104,Void,55747,DE,,0,0,,,,846497627508047872,0,,,
133191598459584512,Vador,854,FR,,0,0,,,,846497627508047872,0,,,
134109099393679361,Wook,40022,US,,0,0,,,,846497627508047872,0,,,
135285640941142016,RucKuS,51816,AU,,0,0,1479,2250,2200,970028275789365368,0,,,
135495101496426496,Zorm,401,FR,,0,0,3728,3750,3707,794262959084797984,0,,,
140225764393091072,demani,4148,US,,0,0,2952,2952,,794263467581374524,0,,,
140488155919810560,Liight,44477,GB,,0,0,1894,2250,2515,794263467581374524,0,,,
141320852317798402,bran,1795,US,,0,0,2229,2229,,794263467581374524,0,,,
141483474816073728,Turbz,51644,RO,,0,0,,,,846497627508047872,0,,,
141632285643505665,Yellowfish,697,US,,0,0,2083,2250,2185,794263467581374524,0,,,
143795775615270912,Fez,51152,GB,,0,0,,,,846497627508047872,0,,,
144173901600129024,Joeey,10290,GB,,0,0,3210,3210,,794262959084797984,0,,,
146014899657637888,Alen,5842,AT,,0,0,3086,3453,3598,794262959084797984,0,,,
146143462524321792,DropBear,43112,AU,,0,0,,,,846497627508047872,0,,,
146790068281933824,Reflex_i,54151,CA,,0,0,2338,2250,2373,794263467581374524,0,,,
147956758952935424,yvonnegone,57215,US,,0,0,,,,846497627508047872,0,,,
148827597139214336,crazii,53389,DE,,0,0,,,,846497627508047872,0,,,
149902555210711040,Spectrum,60,US,,0,0,2158,2250,2158,794263467581374524,0,,,
150284530413076480,Valentin,648,FR,,0,0,,,,846497627508047872,0,,,
150717218223685633,Schism,25270,CA,,0,0,2789,1752,3068,794263467581374524,0,,,
151131182187282432,Xenoph,24056,US,,0,0,930,930,,970028275789365368,0,,,
154383593714483200,Pablez,46881,IT,,0,0,,,,846497627508047872,0,,,
154972283671150593,Seb,1916,DE,,0,0,3136,3425,3305,794262959084797984,0,,,
157176201851437056,torrezinho,51564,CA,,0,0,,,,846497627508047872,0,,,
157276561920229376,driverseati,44537,US,,0,0,,,,846497627508047872,0,,,
157963718179815424,$Chim,124,PR,,0,0,3463,3463,,794262959084797984,0,,,
158164025513869312,Aoba,1438,GU,,0,0,3489,3489,,794262959084797984,0,,,
158526213751570432,Toshiki,1209,JP,,0,0,6382,6836,6795,794262916627038258,0,,,
158682665560702976,Roberto,122,US,,0,0,5331,5331,,794262925098745858,0,,,
159327352369840128,sketch,50,US,,0,0,3685,3874,3685,794262959084797984,0,,,
160209276491661314,yuna,3656,MX,,0,0,3245,3257,3263,794262959084797984,0,,,
161297679819735041,Silver,804,US,,0,0,3340,3340,,794262959084797984,0,,,
161635003271348224,Hee-Haw,8602,US,,0,0,3341,3370,3341,794262959084797984,0,,,
162006556731244545,Nelly,47949,CA,,0,0,,,,846497627508047872,0,,,
162359634240208896,Aless,2945,VE,,0,0,1848,1864,1848,794263467581374524,0,,,
162881558267559936,laToiture,13302,FR,,0,0,3585,3585,,794262959084797984,0,,,
162924360770912256,Quake,54979,NL,,0,0,,,,846497627508047872,0,,,
163723842018213888,Kr0g1,48007,IL,,0,0,660,1000,838,970028275789365368,0,,,
164179006780866570,Doodle,918,US,,0,0,5181,5133,5327,794262925098745858,0,,,
164196623365177345,Nick,68,US,,0,0,6899,7000,6995,794262916627038258,0,,,
165785529386795008,Fritixx,4929,FR,,0,0,4007,3750,4007,794262959084797984,0,,,
166818526768791552,popuko,154,US,,0,0,,,,846497627508047872,0,,,
168075316722401280,rain,3356,CA,,0,0,2995,2875,2995,794263467581374524,0,,,
168929002042425345,Madgasket,54048,CA,,0,0,,,,846497627508047872,0,,,
170153739619926017,nicolocom,2726,IT,,0,0,,,,846497627508047872,0,,,
170657969820794881,zeta,1070,US,,0,0,5004,5064,5004,794262925098745858,0,,,
170927793742282752,Elisa,4682,NL,,0,0,,,,846497627508047872,0,,,
170933819942240257,Spyrosh,9264,BR,,0,0,937,1000,937,970028275789365368,0,,,
171503216897294337,ugi,51537,AU,,0,0,1339,2250,2321,970028275789365368,0,,,
173927134635491328,Smiggy,54787,US,,0,0,,,,846497627508047872,0,,,
174583991591108609,jk,2496,US,,0,0,2160,2160,,794263467581374524,0,,,
174899436323864576,Haupi,289,DE,,0,0,4045,3728,4079,794262959084797984,0,,,
175021987134046218,Leon,191,GB,,0,0,5172,5311,5399,794262925098745858,0,,,
175199398685310976,DEMERN,41118,AU,,0,0,,,,846497627508047872,0,,,
179052059297841152,christianyoung,25311,US,,0,0,,,,846497627508047872,0,,,
180029556634157056,Bilal,21826,GB,,0,0,2232,2232,,794263467581374524,0,,,
180070755415883776,Technical,6764,US,4139-9521-7609,0,0,10131,7129,10131,794262638518730772,0,TechnicalJL,,
